riu_id,name,problem_pattern,execution_intent,workstreams,coordinates,trigger_signals,artifacts,reversibility,success_conditions,failure_modes,dependencies,agent_types,notes
RIU-080,Contract Tests (Input/Output),Interfaces drift; downstream breaks without loud failures.,Implement contract tests with fixtures and CI enforcement.,Quality & Safety | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,contract_tests/ | fixtures/ | ci_gate.md,two_way,"{""execution"": ""Breaking changes caught pre-deploy."", ""outcome"": ""Interfaces stable."", ""safety_quality"": ""Failures loud.""}","{""silent"": [""fixtures stale""], ""loud"": [""test flakiness""], ""clustered"": [""optional fields""]}",,ARK:Therizinosaurus | ARK:Velociraptor,
RIU-081,End-to-End Smoke Tests (Critical Path),Need confidence that critical path works in prod-like conditions.,Create minimal e2e smoke tests and run pre/post deploy.,Quality & Safety | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,smoke_tests/ | smoke_test_runbook.md,two_way,"{""execution"": ""Critical failures detected quickly."", ""outcome"": ""Deploy confidence increases."", ""safety_quality"": ""Runbook usable by on-call.""}","{""silent"": [""missing representative inputs""], ""loud"": [""env dependency""], ""clustered"": [""async pipelines""]}",,ARK:Therizinosaurus | Human:Delivery,
RIU-082,LLM Safety Guardrails (Content + Tool Use),LLM outputs can hallucinate or violate constraints.,"Define policy constraints, evidence requirements, refusal rules, and tool bounds; enforce via validators.",Quality & Safety | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,llm_guardrails.md | policy_rules.yaml | evidence_requirements.md,one_way,"{""execution"": ""Unsafe outputs blocked/downgraded."", ""outcome"": ""Tool calls constrained."", ""safety_quality"": ""Compliance auditable.""}","{""silent"": [""guards not enforced everywhere""], ""loud"": [""over-refusal harms usability""], ""clustered"": [""prompt injection""]}",,ARK:Tyrannosaurus | ARK:Velociraptor | ARK:Therizinosaurus,
RIU-083,Red Team Scenarios (Abuse + Failure),System may be abused or fail dangerously under adversarial inputs.,Define red-team scenarios and run as pre-launch gate; document mitigations.,Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,redteam_scenarios.md | redteam_results.md | mitigations.md,two_way,"{""execution"": ""Abuse cases tested; mitigations documented."", ""outcome"": ""High-risk behaviors detected early."", ""safety_quality"": ""Launch risk reduced.""}","{""silent"": [""scenario set incomplete""], ""loud"": [""false sense of security""], ""clustered"": [""adversarial prompts""]}",,ARK:Velociraptor | ARK:Tyrannosaurus,
RIU-084,"Data Quality Checks (Nulls, Duplicates, Ranges)",Bad data silently degrades outcomes.,Add data quality checks and thresholds; surface anomalies loudly or as warnings.,Quality & Safety | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,data_quality_rules.yaml | dq_checks/ | anomaly_report.md,two_way,"{""execution"": ""Bad data detected before downstream impact."", ""outcome"": ""Anomalies visible to operators."", ""safety_quality"": ""Prevents silent degradation.""}","{""silent"": [""thresholds too lax""], ""loud"": [""false alarms""], ""clustered"": [""seasonal changes""]}",,ARK:Therizinosaurus | ARK:Velociraptor,
RIU-085,Cost/Latency Budget Envelope,Costs/latency can blow up unexpectedly.,Define cost/latency budgets; implement guards and alerts with fallbacks.,Quality & Safety | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,budget_envelope.md | cost_guards/ | latency_alerts.md,two_way,"{""execution"": ""Costs/latency stay within bounded envelope."", ""outcome"": ""Spikes trigger alerts and fallback."", ""safety_quality"": ""Prevents runaway spend.""}","{""silent"": [""budget not enforced""], ""loud"": [""budget triggers too often""], ""clustered"": [""burst traffic""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-086,Regression Suite (Golden + Metamorphic),Need regressions caught beyond a small golden set.,Add metamorphic tests and invariants alongside golden cases.,Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,regression_suite/ | invariants.md,two_way,"{""execution"": ""Regressions caught even when golden set incomplete."", ""outcome"": ""Confidence improves."", ""safety_quality"": ""Safer shipping cadence.""}","{""silent"": [""invariants too weak""], ""loud"": [""test brittleness""], ""clustered"": [""model updates""]}",RIU-021,ARK:Velociraptor | ARK:Tyrannosaurus,
RIU-087,Human Review Gate (One-Way Doors),Irreversible decisions need explicit gating.,Define review checklist for one-way doors; require sign-off recorded in decisions.md.,Quality & Safety | Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,one_way_door_gate.md,two_way,"{""execution"": ""No one-way door executed without sign-off."", ""outcome"": ""Audit trail exists."", ""safety_quality"": ""Reduces catastrophic mistakes.""}","{""silent"": [""gate bypassed""], ""loud"": [""sign-off delayed""], ""clustered"": [""urgent incidents""]}",RIU-003,Human:Delivery | ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-088,Privacy Redaction Pipeline,Logs/prompts may include sensitive info.,Implement redaction/minimization for logs/prompts/stored artifacts; verify with tests.,Quality & Safety | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,redaction_rules.yaml | redaction_tests/ | privacy_runbook.md,one_way,"{""execution"": ""Sensitive fields never stored or logged."", ""outcome"": ""Compliance risk reduced."", ""safety_quality"": ""Safe handling documented.""}","{""silent"": [""missed fields""], ""loud"": [""over-redaction harms utility""], ""clustered"": [""free-text notes""]}",RIU-012,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-100,No-Lie Capability Statement (Internal + External Safe),Messaging risk during rebrand; customers paid; scope ambiguous.,"Write capability statement: what exists, what is pilot, what is out-of-scope, assumptions.",Adoption & Change | Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,capability_statement.md | internal_faq.md | talk_track.md,mixed,"{""execution"": ""Messaging consistent without overpromising."", ""outcome"": ""Customers understand boundaries."", ""safety_quality"": ""Commitments tracked as one-way doors.""}","{""silent"": [""implied commitments""], ""loud"": [""conflicts with roadmap""], ""clustered"": [""multiple GTM owners""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-101,Customer Workshop (Problem Framing + RIU Mapping),Customer needs alignment; asks are broad.,Facilitate workshop to converge on JTBD and map to multiple candidate RIUs (non-commit).,Clarify & Bound | Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,workshop_agenda.md | workshop_outputs.md | candidate_riu_map.yaml,two_way,"{""execution"": ""Aligned scope and prioritized plan."", ""outcome"": ""Customer understands phases/tradeoffs."", ""safety_quality"": ""Gaps surfaced explicitly.""}","{""silent"": [""dominant stakeholder overrides others""], ""loud"": [""no-show""], ""clustered"": [""distributed teams/timezones""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Argentavis,
RIU-102,Enablement Pack (Docs + Demos + Runbooks),Adoption fails due to missing docs/demos/runbooks.,"Create enablement pack: quickstart, demo script, FAQ, runbook, handoff checklist.",Adoption & Change | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,quickstart.md | demo_script.md | faq.md | runbook.md | handoff_checklist.md,two_way,"{""execution"": ""Customer operates solution without FDE presence."", ""outcome"": ""Support load reduced."", ""safety_quality"": ""Handoff is safe.""}","{""silent"": [""docs drift""], ""loud"": [""missing operational steps""], ""clustered"": [""high turnover customers""]}",,Human:Delivery | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-103,Training Session + Feedback Capture,Users need training; unknown friction points.,Deliver training and capture structured feedback to refine assumptions/RIU candidates.,Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,training_deck.md | feedback_form.md | feedback_summary.md,two_way,"{""execution"": ""Users operate system independently."", ""outcome"": ""Feedback yields actionable improvements."", ""safety_quality"": ""Repeat questions drop.""}","{""silent"": [""feedback not structured""], ""loud"": [""training misaligned""], ""clustered"": [""multiple personas""]}",,Human:Delivery | ARK:Argentavis,
RIU-104,Handoff Bundle (Restartable Engagement Package),Need to hand off or restart without hidden state.,Package core+assumptions+decisions+artifacts with README and artifact index.,Adoption & Change | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,handoff_readme.md | artifact_index.md | restart_instructions.md,two_way,"{""execution"": ""New operator resumes quickly."", ""outcome"": ""No critical knowledge lost."", ""safety_quality"": ""Restart requires no external memory.""}","{""silent"": [""missing decision context""], ""loud"": [""artifacts not indexed""], ""clustered"": [""multi-week engagements""]}",,Human:Delivery | ARK:Therizinosaurus,
RIU-105,Executive Update (Clarity Under Pressure),Executives need crisp updates; misalignment risk.,"Produce update: progress, risks, decisions needed, next demo.",Adoption & Change | Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,exec_update_template.md | weekly_exec_update.md,two_way,"{""execution"": ""Leadership unblocks decisions quickly."", ""outcome"": ""Risks visible."", ""safety_quality"": ""Trust maintained.""}","{""silent"": [""bad news delayed""], ""loud"": [""exec escalates scope""], ""clustered"": [""rebrand launches""]}",RIU-009,Human:Delivery,
RIU-120,Integration Mode Selection (API vs Webhook vs Batch),Need to connect systems; best integration mode unclear.,"Compare integration modes with SLAs, latency, ops cost, failure modes; record decision.",Interfaces & Inputs | Ops & Delivery | Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,integration_mode_decision.md | tradeoff_table.md,one_way,"{""execution"": ""Integration mode selected with explicit tradeoffs."", ""outcome"": ""Expectations align."", ""safety_quality"": ""Avoid hidden one-way doors.""}","{""silent"": [""mode chosen by habit""], ""loud"": [""customer requires different mode""], ""clustered"": [""high-volume streams""]}",,ARK:Tyrannosaurus | Human:Delivery | ARK:Argentavis,
RIU-121,Webhook Reliability Pattern (Retries + Idempotency),Webhooks fail under retries/duplicates; consumers break.,"Implement retry policy, idempotency keys, signature verification, replay handling.",Ops & Delivery | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,webhook_spec.md | retry_policy.md | idempotency_design.md | webhook_tests/,mixed,"{""execution"": ""At-least-once delivery safe; duplicates handled."", ""outcome"": ""Retries do not overload systems."", ""safety_quality"": ""Security verified.""}","{""silent"": [""duplicate side effects""], ""loud"": [""signature mismatch""], ""clustered"": [""burst retries""]}",RIU-015,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor | ARK:Velociraptor,
RIU-122,Batch Pipeline Safety Pattern (Checkpointing),Batch jobs fail mid-run; partial results corrupt downstream.,Add checkpointing/resumability; define rerun semantics and idempotent writes.,Ops & Delivery | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,batch_semantics.md | checkpointing_design.md | batch_tests/,two_way,"{""execution"": ""Batch reruns are safe and predictable."", ""outcome"": ""Partial failures recover cleanly."", ""safety_quality"": ""Operational burden reduced.""}","{""silent"": [""partial writes""], ""loud"": [""checkpoint corruption""], ""clustered"": [""large datasets""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-123,Queue + Backpressure Pattern,Producer/consumer mismatch causes overload and cascades.,"Introduce queueing, backpressure, rate limits, dead-letter handling.",Ops & Delivery | Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,queue_design.md | rate_limits.md | dlq_plan.md,one_way,"{""execution"": ""Stability under spikes."", ""outcome"": ""Failures isolated to DLQ."", ""safety_quality"": ""Backpressure prevents cascades.""}","{""silent"": [""unbounded queue growth""], ""loud"": [""DLQ floods""], ""clustered"": [""traffic spikes""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-140,Research Sweep: FDE Role Patterns (External),Need external signal to detect missing RIUs and emerging patterns.,"Collect patterns from public FDE job descriptions, case studies, delivery writeups; propose candidate gaps.",Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,research_sources.md | pattern_summary.md | candidate_gaps.md,two_way,"{""execution"": ""Candidate gaps suggested with evidence."", ""outcome"": ""Workstreams refined from observed reality."", ""safety_quality"": ""No auto-promotion occurs.""}","{""silent"": [""sampling bias""], ""loud"": [""low-quality sources""], ""clustered"": [""fast-changing terms""]}",,ARK:Argentavis | Human:Delivery,
RIU-141,Candidate RIU Template + Tight Bounding,No RIU fits a problem; need bounded candidate material.,Create Candidate RIU with explicit pattern/intent/artifacts/success/failure/deps; delete quickly if it fails.,Clarify & Bound | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,candidate_riu.yaml | candidate_validation_plan.md,two_way,"{""execution"": ""Gap becomes explicit and testable."", ""outcome"": ""Candidate safe to try and cheap to delete."", ""safety_quality"": ""No accidental canonization.""}","{""silent"": [""candidate too broad""], ""loud"": [""candidate overlaps existing RIUs""], ""clustered"": [""new product launches""]}",,ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-200,Customer Problem Narrative (JTBD + Constraints),"Customer describes symptoms, not root cause; narrative fragmented.",Synthesize a JTBD narrative and symptom map from notes; confirm with customer.,Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",confusing ask,problem_narrative.md | symptom_map.md,two_way,"{""execution"": ""Narrative confirmed."", ""outcome"": ""Less misinterpretation."", ""safety_quality"": ""Better decomposition.""}","{""silent"": [""misread intent""], ""loud"": [""customer disagrees""], ""clustered"": [""multiple stakeholders""]}",,Human:Delivery | ARK:Argentavis,
RIU-201,Competitive/Alternatives Scan (Non-Sales),Customer compares vendors; need technical differentiation without hype.,"Summarize alternatives with tradeoffs, risks, and integration costs.",Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",vendor comparison,alternatives_scan.md | tradeoffs.md,two_way,"{""execution"": ""Customer can choose with clarity."", ""outcome"": ""Reduces rework from wrong assumptions."", ""safety_quality"": ""Avoids overpromising.""}","{""silent"": [""biased scan""], ""loud"": [""missing info""], ""clustered"": [""fast-moving market""]}",,ARK:Argentavis | Human:Delivery,
RIU-202,Escalation Trigger Definition,Escalations happen randomly; teams surprised.,"Define triggers for escalation (security, SLA, data) and owners.",Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",blocked approvals,escalation_triggers.md,two_way,"{""execution"": ""Escalations predictable."", ""outcome"": ""Less surprise blocking."", ""safety_quality"": ""Faster approvals.""}","{""silent"": [""trigger ignored""], ""loud"": [""trigger too sensitive""], ""clustered"": [""enterprise governance""]}",RIU-002,Human:Delivery,
RIU-210,Data Ingestion Mode Decision (Pull vs Push),Unclear whether to pull data or receive pushes; impacts ops cost.,Decide pull vs push; record tradeoffs and failure modes.,Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",ingestion unclear,ingestion_mode_decision.md,one_way,"{""execution"": ""Mode selected with explicit tradeoffs."", ""outcome"": ""Ops cost understood."", ""safety_quality"": ""Avoid hidden one-way doors.""}","{""silent"": [""choice made implicitly""], ""loud"": [""mode conflicts with infra""], ""clustered"": [""high volume data""]}",RIU-120,ARK:Tyrannosaurus | Human:Delivery,
RIU-211,Rate Limit & Quota Discovery,APIs throttle unexpectedly; integration breaks.,"Measure and document rate limits, quotas, retry headers, and backoff strategies.",Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",throttling,rate_limit_report.md | backoff_strategy.md,two_way,"{""execution"": ""Integration respects quotas."", ""outcome"": ""Avoid bans/outages."", ""safety_quality"": ""Predictable throughput.""}","{""silent"": [""limits vary by tenant""], ""loud"": [""ban encountered""], ""clustered"": [""large accounts""]}",RIU-017,ARK:Therizinosaurus | ARK:Argentavis,
RIU-212,File Format Handling (CSV/JSON/Parquet),Customer uses inconsistent file formats and encodings.,Define supported formats/encodings; implement validators and conversion tools.,Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",file ingestion,format_support.md | format_validators/ | conversion_tools/,two_way,"{""execution"": ""Formats handled reliably."", ""outcome"": ""Edge-case files fail loudly."", ""safety_quality"": ""Support burden reduced.""}","{""silent"": [""encoding misread""], ""loud"": [""parser crash""], ""clustered"": [""international CSVs""]}",RIU-014,ARK:Therizinosaurus | ARK:Velociraptor,
RIU-230,Retrieval Query Rewriting (Guarded),User queries are vague; retrieval recall low.,Implement query rewriting with constraints and abstain; evaluate on golden set.,Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",low recall,query_rewriter/ | rewrite_rules.md | rewrite_eval.md,two_way,"{""execution"": ""Recall improves measurably."", ""outcome"": ""No harmful rewrites."", ""safety_quality"": ""Abstain prevents damage.""}","{""silent"": [""rewrite changes intent""], ""loud"": [""latency increase""], ""clustered"": [""ambiguous queries""]}",RIU-021,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-231,Chunking Strategy for Long Docs,Long docs cause retrieval misses; chunking unclear.,Define chunking strategy and evaluate retrieval impact.,Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",long docs,chunking_plan.md | chunker/ | chunk_eval.md,two_way,"{""execution"": ""Retrieval improves for long docs."", ""outcome"": ""Chunk boundaries reasonable."", ""safety_quality"": ""Latency/cost controlled.""}","{""silent"": [""chunks lose context""], ""loud"": [""index bloat""], ""clustered"": [""pdf-like docs""]}",RIU-020,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,
RIU-232,Deduplication at Retrieval Time,Near-duplicate docs dominate results; diversity poor.,Implement dedup in results; preserve diversity with reason codes.,Core Logic,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",duplicate results,retrieval_dedup.md | dedup_module/,two_way,"{""execution"": ""Results more diverse; less redundancy."", ""outcome"": ""User satisfaction improves."", ""safety_quality"": ""Explainable pruning.""}","{""silent"": [""dedup removes key variant""], ""loud"": [""dedup too aggressive""], ""clustered"": [""templated docs""]}",RIU-027,ARK:Tyrannosaurus | ARK:Therizinosaurus,
RIU-250,Security Review Packet (Minimal),Security team needs evidence to approve.,"Assemble packet: threat model, data flows, permissions, mitigations, tests.",Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",security review,security_review_packet.md,one_way,"{""execution"": ""Security review faster."", ""outcome"": ""Risks explicit."", ""safety_quality"": ""Mitigations verified.""}","{""silent"": [""packet missing key risk""], ""loud"": [""security blocks launch""], ""clustered"": [""tool-calling agents""]}",RIU-012,ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-251,Reliability Chaos Drill (Tabletop),Incident plan exists but untested.,Run tabletop drill against incident runbook; update gaps.,Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",pre-launch,chaos_drill_plan.md | chaos_drill_results.md,two_way,"{""execution"": ""Runbook actionable under stress."", ""outcome"": ""Owners know roles."", ""safety_quality"": ""Gaps fixed pre-incident.""}","{""silent"": [""no follow-up fixes""], ""loud"": [""runbook unusable""], ""clustered"": [""multi-team incidents""]}",RIU-062,Human:Delivery,
RIU-252,Model/Dependency Change Watchlist,Upstream model/provider changes break behavior.,Create watchlist for dependencies; define re-eval triggers and rollback stance.,Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",provider changes,change_watchlist.md | retest_triggers.md,two_way,"{""execution"": ""Changes detected early."", ""outcome"": ""Retesting proactive."", ""safety_quality"": ""Less surprise regressions.""}","{""silent"": [""watchlist ignored""], ""loud"": [""surprise breaking change""], ""clustered"": [""managed services""]}",RIU-086,ARK:Tyrannosaurus,
RIU-270,Staging Environment Buildout (Prod-like),No safe environment to test; prod-only changes risky.,"Create prod-like staging with test data, configs, and safe credentials.",Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",no staging,staging_plan.md | staging_setup/ | staging_smoketests/,mixed,"{""execution"": ""Changes validated before prod."", ""outcome"": ""Risk reduced."", ""safety_quality"": ""Debugging easier.""}","{""silent"": [""staging differs materially""], ""loud"": [""cost too high""], ""clustered"": [""complex infra""]}",RIU-060,ARK:Tyrannosaurus | ARK:Therizinosaurus,
RIU-271,On-Call Handoff Checklist,Ops team inherits system; needs clarity.,"Create on-call checklist: dashboards, alerts, runbooks, contacts, escalation.",Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",handoff,oncall_handoff.md,two_way,"{""execution"": ""On-call prepared."", ""outcome"": ""Incidents resolved faster."", ""safety_quality"": ""Fewer escalations to builders.""}","{""silent"": [""missing contact paths""], ""loud"": [""dashboard gaps""], ""clustered"": [""new teams""]}",RIU-061 | RIU-069,Human:Delivery,
RIU-272,Release Notes + Breaking Change Comms,Customers need comms; breaking changes cause anger.,Write release notes and breaking-change comms with timelines and mitigations.,Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",release,release_notes.md | breaking_change_comms.md,mixed,"{""execution"": ""Customers prepared for changes."", ""outcome"": ""Trust preserved."", ""safety_quality"": ""Reduced support spikes.""}","{""silent"": [""unclear comms""], ""loud"": [""customer pushback""], ""clustered"": [""large rollouts""]}",RIU-016,Human:Delivery | ARK:Velociraptor,
RIU-290,Internal Demo Narrative (Problem→Value→Limits),Need crisp internal alignment on what was built and what wasn't.,Create demo narrative with limitations and next decisions; avoid hype.,Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",internal demo,demo_narrative.md | demo_checklist.md,two_way,"{""execution"": ""Internal alignment improved."", ""outcome"": ""Clear next steps."", ""safety_quality"": ""Limits prevent overpromising.""}","{""silent"": [""demo implies promises""], ""loud"": [""misalignment persists""], ""clustered"": [""rebrand messaging""]}",RIU-100,Human:Delivery,
RIU-291,Customer Success Play (Operationalization),CS needs repeatable play to drive adoption.,"Create CS play: onboarding steps, health checks, escalation triggers, success metrics.",Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",CS needs play,cs_playbook.md,two_way,"{""execution"": ""Adoption increases."", ""outcome"": ""Support load reduced."", ""safety_quality"": ""CS acts proactively.""}","{""silent"": [""play not used""], ""loud"": [""too complex""], ""clustered"": [""many customer segments""]}",RIU-006,Human:Delivery,
RIU-292,Post-Engagement Retro (Pattern Harvest),Need to capture learnings without ossifying.,"Run retro to harvest patterns, propose candidate RIUs, and list deletions.",Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",engagement ends,retro_notes.md | pattern_harvest.md | candidate_rius_from_retro.yaml,two_way,"{""execution"": ""Patterns captured with evidence."", ""outcome"": ""Bad ideas deleted."", ""safety_quality"": ""Taxonomy evolves safely.""}","{""silent"": [""retro skipped""], ""loud"": [""political blame""], ""clustered"": [""failed engagements""]}",RIU-141,Human:Delivery | ARK:Tyrannosaurus,
RIU-320,Support Intake Triage,Inbound support/incidents require fast categorization and containment.,"Create triage rubric, severity levels, and first-response checklist.",Ops & Delivery | Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",support request,support_triage.md | sev_levels.md | first_response_checklist.md,two_way,"{""execution"": ""Support responds consistently."", ""outcome"": ""Sev classification consistent."", ""safety_quality"": ""Fewer escalations from confusion.""}","{""silent"": [""misclassified severity""], ""loud"": [""no owner assigned""], ""clustered"": [""after-hours spikes""]}",,Human:Delivery,Theme: Support & Triage
RIU-321,Known Issues Catalog,Repeated issues reappear without documentation.,"Maintain known issues with symptoms, workarounds, and fixes; link to artifacts.",Ops & Delivery | Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",repeat incident,known_issues.md,two_way,"{""execution"": ""Repeat issues resolved faster."", ""outcome"": ""Workarounds documented."", ""safety_quality"": ""Support load reduced.""}","{""silent"": [""catalog stale""], ""loud"": [""wrong workaround""], ""clustered"": [""new releases""]}",,Human:Delivery | ARK:Argentavis,Theme: Support & Triage
RIU-322,Customer Escalation Comms,High-severity issue needs clear customer comms.,"Use comms templates, define update cadence, and record commitments in decisions.md.",Ops & Delivery | Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",escalation | sev1,customer_escalation_comms.md | status_update_template.md,mixed,"{""execution"": ""Customer informed with consistent updates."", ""outcome"": ""Commitments tracked."", ""safety_quality"": ""Trust preserved.""}","{""silent"": [""implied promises""], ""loud"": [""missed update cadence""], ""clustered"": [""multi-stakeholder incidents""]}",RIU-062,Human:Delivery | ARK:Velociraptor,Theme: Support & Triage
RIU-323,ETL Transformation Library,Repeated transforms cause inconsistency across pipelines.,Factor transforms into a shared library with tests and versioning.,Ops & Delivery | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",many transforms,transforms/ | transform_tests/ | transform_versioning.md,two_way,"{""execution"": ""Transforms reusable and tested."", ""outcome"": ""Less copy-paste drift."", ""safety_quality"": ""Faster new pipelines.""}","{""silent"": [""untested edge cases""], ""loud"": [""breaking change in transform""], ""clustered"": [""many consumers""]}",,ARK:Tyrannosaurus | ARK:Therizinosaurus,Theme: Data Pipelines
RIU-324,Deduplication Strategy,Duplicate records break analytics and workflows.,"Define dedup keys, merge rules, and audit trail of merges.",Ops & Delivery | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",duplicates,dedup_strategy.md | merge_rules.yaml | dedup_tests/,mixed,"{""execution"": ""Duplicates handled deterministically."", ""outcome"": ""Merge outcomes auditable."", ""safety_quality"": ""Downstream stable.""}","{""silent"": [""incorrect merges""], ""loud"": [""key collisions""], ""clustered"": [""partial identifiers""]}",RIU-011,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,Theme: Data Pipelines
RIU-325,Backfill Strategy + Monitoring,Historical backfill needed safely.,"Plan backfill with checkpoints, monitoring, and rollback semantics.",Ops & Delivery | Interfaces & Inputs,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",backfill,backfill_plan.md | backfill_scripts/ | backfill_dashboard.md,one_way,"{""execution"": ""Backfill completes without outages."", ""outcome"": ""Progress observable."", ""safety_quality"": ""Rollback plan exists.""}","{""silent"": [""partial backfill""], ""loud"": [""overload production""], ""clustered"": [""large tables""]}",RIU-067,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,Theme: Data Pipelines
RIU-326,Threat Model Sketch,Need minimal threat model for a feature.,"Document threat actors, attack surfaces, mitigations, residual risk.",Quality & Safety | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",security review,threat_model.md,one_way,"{""execution"": ""Threats identified early."", ""outcome"": ""Mitigations planned before launch."", ""safety_quality"": ""Security review smoother.""}","{""silent"": [""missed attack surface""], ""loud"": [""security blocks launch""], ""clustered"": [""tool-calling agents""]}",RIU-029,ARK:Tyrannosaurus | ARK:Velociraptor,Theme: Security
RIU-327,AuthN/AuthZ Integration Pattern,Need integrate with SSO/roles.,"Implement auth integration, role mapping, permission checks; add tests.",Quality & Safety | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",SSO | roles,auth_design.md | permission_matrix.md | auth_tests/,one_way,"{""execution"": ""Access control correct and tested."", ""outcome"": ""Least privilege maintained."", ""safety_quality"": ""Audit ready.""}","{""silent"": [""privilege escalation""], ""loud"": [""SSO misconfig""], ""clustered"": [""multi-tenant roles""]}",RIU-010,ARK:Tyrannosaurus | ARK:Therizinosaurus | ARK:Velociraptor,Theme: Security
